,jd,old_date
685,114.44400,20220424_122000
686,114.45600,20220424_124000
687,114.46800,20220424_130000
688,114.48000,20220424_132000
689,114.49200,20220424_134000
690,114.50400,20220424_140000
691,114.51600,20220424_142000
692,114.52800,20220424_144000
693,114.54000,20220424_150000
694,114.55200,20220424_152000
695,114.56400,20220424_154000
696,114.57600,20220424_160000
697,114.58800,20220424_162000
698,114.60000,20220424_164000
699,114.61200,20220424_170000
700,114.62400,20220424_172000
701,114.63600,20220424_174000
702,114.64800,20220424_180000
703,114.66000,20220424_182000
704,114.67200,20220424_184000
705,114.68400,20220424_190000
706,114.69600,20220424_192000
707,114.70800,20220424_194000
708,114.72000,20220424_200000
709,114.73200,20220424_202000
710,114.74400,20220424_204000
711,114.75600,20220424_210000
712,114.76800,20220424_212000
713,114.78000,20220424_214000
714,114.79200,20220424_220000
715,114.80400,20220424_222000
716,114.81600,20220424_224000
717,114.82800,20220424_230000
718,114.84000,20220424_232000
719,114.85200,20220424_234000
720,115.00,20220425_000000
721,115.01200,20220425_002000
722,115.02400,20220425_004000
723,115.03600,20220425_010000
724,115.04800,20220425_012000
725,115.06000,20220425_014000
726,115.07200,20220425_020000
727,115.08400,20220425_022000
728,115.09600,20220425_024000
729,115.10800,20220425_030000
730,115.12000,20220425_032000
731,115.13200,20220425_034000
732,115.14400,20220425_040000
733,115.15600,20220425_042000
734,115.16800,20220425_044000
735,115.18000,20220425_050000
736,115.19200,20220425_052000
737,115.20400,20220425_054000
738,115.21600,20220425_060000
739,115.22800,20220425_062000
740,115.24000,20220425_064000
741,115.25200,20220425_070000
742,115.26400,20220425_072000
743,115.27600,20220425_074000
744,115.28800,20220425_080000
745,115.30000,20220425_082000
746,115.31200,20220425_084000
747,115.32400,20220425_090000
748,115.33600,20220425_092000
749,115.34800,20220425_094000
750,115.36000,20220425_100000
751,115.37200,20220425_102000
752,115.38400,20220425_104000
753,115.39600,20220425_110000
754,115.40800,20220425_112000
755,115.42000,20220425_114000
756,115.43200,20220425_120000
757,115.44400,20220425_122000
758,115.45600,20220425_124000
759,115.46800,20220425_130000
760,115.48000,20220425_132000
761,115.49200,20220425_134000
762,115.50400,20220425_140000
763,115.51600,20220425_142000
764,115.52800,20220425_144000
765,115.54000,20220425_150000
766,115.55200,20220425_152000
767,115.56400,20220425_154000
768,115.57600,20220425_160000
769,115.58800,20220425_162000
770,115.60000,20220425_164000
771,115.61200,20220425_170000
772,115.62400,20220425_172000
773,115.63600,20220425_174000
774,115.64800,20220425_180000
775,115.66000,20220425_182000
776,115.67200,20220425_184000
777,115.68400,20220425_190000
