,rho_bar_1_dry,rho_bar_2_dry,rho_bar_3_dry,rho_bar_1_moist,rho_bar_2_moist,rho_bar_3_moist
3325,1.2157322712542928,1.2157726663663702,1.2156427317836287,1.2073976201080028,1.2074377382847916,1.2073086944898037
3326,1.215691308137239,1.2157305027637153,1.2156008208365554,1.2073562867259358,1.2073952126262573,1.207266419824184
3327,1.2154041654867587,1.2154453253448882,1.2152807144856086,1.2070287386401986,1.2070696148631468,1.2069061383476924
3328,1.2152760948428425,1.215316731603606,1.2151915220493728,1.2069025190689207,1.2069428758315859,1.2068185290045095
3329,1.2150768943417969,1.2151160454242989,1.2150089779449684,1.2066817229928752,1.2067206035739402,1.2066142758418956
3330,1.215177488049507,1.2152190672783911,1.2151125477543665,1.2067931408325099,1.20683443317763,1.2067286486052349
3331,1.2152888477003128,1.2153336570124547,1.2151748503267683,1.2068891469724048,1.206933646576437,1.2067759375134566
3332,1.215018492006008,1.2150639592932593,1.2148197553775633,1.206596675752886,1.206641827886795,1.2063993166535723
3333,1.2143533597643816,1.214396950448292,1.2138946674273503,1.2059014188006294,1.2059447060918873,1.2054459189779696
3334,1.2133878495195938,1.2134291558615822,1.2128375903596442,1.204886168771368,1.2049271856977892,1.2043397650379488
3335,1.2136940097949116,1.2137359493347994,1.2133200205357417,1.2052571825851253,1.2052988305880619,1.2048857930609234
3336,1.2140197104500825,1.2140578417186116,1.2136197755271803,1.2056275195958017,1.205665387273155,1.2052303493151646
3337,1.213255320651429,1.2132893753361371,1.2129184337325096,1.2048554064527,1.2048892253614552,1.2045208519539774
3338,1.2130212077576132,1.2130569981840895,1.2127912203080218,1.204679468694913,1.204715012996757,1.204451062829617
3339,1.2130735111149074,1.2131112247023605,1.2127953586337046,1.2047568952231613,1.2047943502529774,1.2044806497058187
3340,1.212021344917471,1.2120604040065117,1.211678755679485,1.2036434506876494,1.2036822397872895,1.2033032295403017
3341,1.2108590862658508,1.210898841998308,1.2103417344881804,1.2024343779050415,1.2024738570318594,1.2019206256691313
