,index_arr,sigH,T_period,Cp
1847,1215.5,0.8576169737877799,4.096,6.374437748619009
1848,1216.0,0.8457138203073482,4.096,6.374484355450346
1849,1217.0,0.8691734823996197,3.9384615384615387,6.134964701936597
1850,1217.5,0.9123069527100014,4.033746898263027,6.279339423016648
1851,1218.0,0.9554404230203831,4.129032258064516,6.4237141440966985
1852,1219.0,0.9206346215211381,3.764705882352941,5.867800706669807
1853,1219.5,0.890393555574414,3.8823529411764706,6.047793300093708
1854,1220.0,0.8601524896276901,4.0,6.227785893517608
1855,1221.0,0.7927320554608281,3.631205673758865,5.6612991253347795
1856,1221.5,0.7965739729334789,3.569027494413679,5.564850653879624
1857,1222.0,0.8004158904061296,3.506849315068493,5.468402182424469
1858,1223.0,0.6992905883483269,3.5804195804195804,5.582429496729823
1859,1223.5,0.6961893202646862,3.4418226934355967,5.367045418219334
1860,1224.0,0.6930880521810454,3.303225806451613,5.151661339708846
1861,1225.0,0.6268838303766076,3.4829931972789114,5.431151591044521
1862,1225.5,0.6211171102617443,3.4257071249552453,5.342107475465139
1863,1226.0,0.6153503901468812,3.3684210526315788,5.253063359885757
1864,1227.0,0.6461394371850756,3.282051282051282,5.1186391875696176
1865,1227.5,0.6348216869265536,3.2926385442514476,5.135118756329444
1866,1228.0,0.6235039366680316,3.303225806451613,5.15159832508927
1867,1229.0,0.6717560395447824,3.4594594594594597,5.394533536634237
1868,1229.5,0.6866364814195949,3.4478505350988575,5.376519646608242
1869,1230.0,0.7015169232944074,3.436241610738255,5.358505756582247
1870,1231.0,0.7701556878403982,3.5310344827586206,5.505732168612011
1871,1231.5,0.7751839655781021,3.6205897051474265,5.644328232735305
1872,1232.0,0.7802122433158061,3.710144927536232,5.782924296858599
1873,1233.0,0.791422179184009,3.5555555555555554,5.54392383279868
1874,1233.5,0.8064963323721412,3.646390916463909,5.684448924793644
1875,1234.0,0.8215704855602733,3.7372262773722627,5.824974016788607
1876,1235.0,0.8112427134297395,3.631205673758865,5.661282267689885
1877,1235.5,0.8609301132807772,3.6573294555844686,5.70174978451594
1878,1236.0,0.9106175131318147,3.683453237410072,5.742217301341993
1879,1237.0,0.8328676376040536,3.9384615384615387,6.134424973602506
1880,1237.5,0.8400431347793953,4.000976800976801,6.229656754788447
1881,1238.0,0.8472186319547371,4.063492063492063,6.324888535974387
1882,1239.0,0.8347937971709231,3.7372262773722627,5.82569556161409
1883,1239.5,0.82585036955761,3.723685602454247,5.804814372817567
1884,1240.0,0.816906941944297,3.710144927536232,5.783933184021046
1885,1241.0,0.875532130909156,3.8208955223880596,5.954826494144288
1886,1241.5,0.8494874636391789,3.8646462344764725,6.021962772355
1887,1242.0,0.8234427963692018,3.9083969465648853,6.0890990505657125
1888,1243.0,0.8032962531081148,3.631205673758865,5.661596934369989
1889,1243.5,0.8180743929525514,3.769801310161875,5.8750597595807985
1890,1244.0,0.832852532796988,3.9083969465648853,6.088522584791607
1891,1245.0,0.8401078967706641,3.5804195804195804,5.582668595505617
1892,1245.5,0.8295883628435785,3.4744203165255794,5.417940444491558
1893,1246.0,0.8190688289164929,3.3684210526315788,5.253212293477498
1894,1247.0,0.7624147667536482,3.5310344827586206,5.505877675999039
1895,1247.5,0.7802640911283419,3.5557270315891003,5.544112710133261
1896,1248.0,0.7981134155030357,3.5804195804195804,5.582347744267483
1897,1249.0,0.77534881171307,3.4829931972789114,5.431164771666529
1898,1249.5,0.7413725052850564,3.531706388849246,5.506653774104864
1899,1250.0,0.7073961988570426,3.5804195804195804,5.5821427765432
1900,1251.0,0.7190183276234715,3.390728476821192,5.2877265501206905
1901,1251.5,0.736415491068554,3.379574764726385,5.270373473984611
1902,1252.0,0.7538126545136364,3.3684210526315788,5.25302039784853
1903,1253.0,0.7627050779145614,3.324675324675325,5.184952139316544
1904,1253.5,0.7540953421307022,3.403834260977118,5.307953024856085
1905,1254.0,0.7454856063468429,3.4829931972789114,5.430953910395624
1906,1255.0,0.7121162061832236,3.5555555555555554,5.543422827066179
1907,1255.5,0.7392773014461262,3.5075075075075075,5.468944011911899
1908,1256.0,0.766438396709029,3.4594594594594597,5.3944651967576185
1909,1257.0,0.7274952232635729,3.631205673758865,5.660615006816884
1910,1257.5,0.7148305102021026,3.5222695035460996,5.491773240838802
1911,1258.0,0.7021657971406324,3.4133333333333336,5.322931474860718
1912,1259.0,0.742760648366199,3.4829931972789114,5.43125502425157
1913,1259.5,0.7112701659847375,3.610109737325587,5.628133685988029
1914,1260.0,0.6797796836032759,3.7372262773722627,5.825012347724489
1915,1261.0,0.7301924675912098,3.506849315068493,5.46852872896851
1916,1261.5,0.7573931402463001,3.569027494413679,5.565054256799602
1917,1262.0,0.7845938129013905,3.631205673758865,5.6615797846306934
1918,1263.0,0.7372747649141553,3.764705882352941,5.868151528105304
1919,1263.5,0.7118691507895065,3.623849539815926,5.649886168431127
1920,1264.0,0.6864635366648576,3.4829931972789114,5.431620808756951
1921,1265.0,0.6956019132683866,3.5555555555555554,5.544375628243488
1922,1265.5,0.691063987460766,3.4958985831469054,5.451638570777861
1923,1266.0,0.6865260616531454,3.436241610738255,5.358901513312234
1924,1267.0,0.6528640016535199,3.4594594594594597,5.394988816278774
1925,1267.5,0.6631249560206061,3.381342632955536,5.273385948631188
1926,1268.0,0.6733859103876921,3.303225806451613,5.151783080983602
1927,1269.0,0.6330285171896237,3.029585798816568,4.725256297870432
1928,1269.5,0.619302089831961,3.1453661478159276,4.905725409307106
1929,1270.0,0.6055756624742982,3.261146496815287,5.0861945207437795
1930,1271.0,0.5886986213584537,3.1604938271604937,4.929334848941334
1931,1271.5,0.561375821583163,3.1604938271604937,4.929329623295185
1932,1272.0,0.5340530218078722,3.1604938271604937,4.9293243976490375
1933,1273.0,0.5059176311300552,2.8444444444444446,4.436520920416728
1934,1273.5,0.482107963744724,2.885079365079365,4.499891943802602
1935,1274.0,0.4582982963593928,2.9257142857142857,4.563262967188477
1936,1275.0,0.33051784600950906,2.8444444444444446,4.4365182708820825
1937,1275.5,0.30418455940257827,2.683305966064587,4.185194527394529
1938,1276.0,0.2778512727956474,2.522167487684729,3.9338707839069746
1939,1277.0,0.2604752545637368,2.265486725663717,3.533521423758378
1940,1277.5,0.2653094774517804,2.340290532643179,3.6501942640921845
1941,1278.0,0.270143700339824,2.4150943396226414,3.7668671044259905
1942,1279.0,0.3273464205249977,2.4615384615384617,3.8393067821993654
1943,1279.5,0.32548349784884684,2.44981684981685,3.821024394732457
1944,1280.0,0.323620575172696,2.4380952380952383,3.802742007265548
1945,1281.0,0.34349776935596277,2.449760765550239,3.8209369359730005
1946,1281.5,0.3475204200258443,2.551305253241441,3.979317008129109
1947,1282.0,0.3515430706957259,2.6528497409326426,4.137697080285217
1948,1283.0,0.340515170877306,2.6122448979591835,4.074365665966789
1949,1283.5,0.3392861718576371,2.55490293678447,3.9849287069372146
1950,1284.0,0.3380571728379682,2.497560975609756,3.895491747907641
1951,1285.0,0.3650033552717506,2.6666666666666665,4.15924775835426
1952,1285.5,0.36433319959603105,2.6529209621993126,4.137808584352443
1953,1286.0,0.36366304392031157,2.6391752577319587,4.116369410350625
1954,1287.0,0.37290073513871563,2.8603351955307263,4.4613078289911865
1955,1287.5,0.3893108313413174,2.7704817338910175,4.321165984979462
1956,1288.0,0.4057209275439192,2.680628272251309,4.181024140967738
1957,1289.0,0.3958850917324351,2.782608695652174,4.34008250412278
1958,1289.5,0.40843109884961126,2.7530064754856616,4.293912287149567
1959,1290.0,0.4209771059667875,2.723404255319149,4.247742070176353
1960,1291.0,0.4407901537657458,2.797814207650273,4.363798295802647
1961,1291.5,0.4464364108628844,2.7902114516512233,4.351940358703015
1962,1292.0,0.45208266796002294,2.782608695652174,4.340082421603382
1963,1293.0,0.46711647097418924,2.909090909090909,4.537348056151829
1964,1293.5,0.43226242108293433,2.8767676767676766,4.486935903455722
1965,1294.0,0.39740837119167943,2.8444444444444446,4.436523750759615
1966,1295.0,0.3304608571095778,2.7379679144385025,4.270455856979646
1967,1295.5,0.30108670367815904,2.767891061044388,4.317125666995815
1968,1296.0,0.2717125502467403,2.797814207650273,4.363795477011984
1969,1297.0,0.28009976244158674,2.403755868544601,3.7491823141663425
1970,1297.5,0.2859838545671458,2.2641185981727157,3.5313875106664243
1971,1298.0,0.2918679466927048,2.12448132780083,3.3135927071665057
1972,1299.0,0.324440299815414,2.4150943396226414,3.7668671098963444
1973,1299.5,0.31983969355399544,2.3927323549965056,3.73198872714295
1974,1300.0,0.3152390872925769,2.3703703703703702,3.697110344389556
1975,1301.0,0.352261309216409,2.2555066079295156,3.517955250327929
1976,1301.5,0.3343588843206055,2.270610446821901,3.541512983972533
1977,1302.0,0.316456459424802,2.2857142857142856,3.565070717617136
1978,1303.0,0.24922696893064597,2.2555066079295156,3.5179552502214393
1979,1303.5,0.245015281269363,2.0937910398138144,3.2657244976721875
1980,1304.0,0.24080359360808007,1.9320754716981132,3.0134937451229353
1981,1305.0,0.2493286672310185,2.1333333333333333,3.3273993433670603
1982,1305.5,0.26703239156079756,2.174891774891775,3.392218810660809
1983,1306.0,0.28473611589057657,2.2164502164502164,3.4570382779545574
1984,1307.0,0.311571052125553,2.098360655737705,3.2728518132829234
1985,1307.5,0.37363178539797937,2.1114209917692675,3.2932222602358427
1986,1308.0,0.43569251867040576,2.12448132780083,3.3135927071887616
