,Year,Month,Day,Hour,Minute,PW boom-1 [m^3/s^3],PW boom-2 [m^3/s^3],PW boom-3 [m^3/s^3],d_dz_pw_theory_I,d_dz_pw_theory_II,datetime
252,2022.0,4.0,18.0,12.0,0.0,,,,,,2022-04-18 12:00:00
253,2022.0,4.0,18.0,12.0,20.0,,,,,,2022-04-18 12:20:00
254,2022.0,4.0,18.0,12.0,40.0,,,,,,2022-04-18 12:40:00
255,2022.0,4.0,18.0,13.0,0.0,,,,,,2022-04-18 13:00:00
256,2022.0,4.0,18.0,13.0,20.0,,,,,,2022-04-18 13:20:00
257,2022.0,4.0,18.0,13.0,40.0,,,,,,2022-04-18 13:40:00
258,2022.0,4.0,18.0,14.0,0.0,,,,,,2022-04-18 14:00:00
259,2022.0,4.0,18.0,14.0,20.0,,,,,,2022-04-18 14:20:00
260,2022.0,4.0,18.0,14.0,40.0,,,,,,2022-04-18 14:40:00
261,2022.0,4.0,18.0,14.0,59.0,,,,,,2022-04-18 15:00:00
262,2022.0,4.0,18.0,15.0,19.0,,,,,,2022-04-18 15:20:00
263,2022.0,4.0,18.0,15.0,39.0,,,,,,2022-04-18 15:40:00
264,2022.0,4.0,18.0,15.0,59.0,,,,,,2022-04-18 16:00:00
265,2022.0,4.0,18.0,16.0,19.0,,,,,,2022-04-18 16:20:00
266,2022.0,4.0,18.0,16.0,39.0,,,,,,2022-04-18 16:40:00
267,2022.0,4.0,18.0,16.0,59.0,,,,,,2022-04-18 17:00:00
268,2022.0,4.0,18.0,17.0,19.0,,,,,,2022-04-18 17:20:00
269,2022.0,4.0,18.0,17.0,39.0,,,,,,2022-04-18 17:40:00
270,2022.0,4.0,18.0,17.0,59.0,,,,,,2022-04-18 18:00:00
271,2022.0,4.0,18.0,18.0,19.0,,,,,,2022-04-18 18:20:00
272,2022.0,4.0,18.0,18.0,39.0,,,,,,2022-04-18 18:40:00
273,2022.0,4.0,18.0,18.0,59.0,,,,,,2022-04-18 19:00:00
274,2022.0,4.0,18.0,19.0,19.0,,,,,,2022-04-18 19:20:00
275,2022.0,4.0,18.0,19.0,39.0,,,,,,2022-04-18 19:40:00
276,2022.0,4.0,18.0,19.0,59.0,,,,,,2022-04-18 20:00:00
277,2022.0,4.0,18.0,20.0,19.0,,,,,,2022-04-18 20:20:00
278,2022.0,4.0,18.0,20.0,39.0,,,,,,2022-04-18 20:40:00
279,2022.0,4.0,18.0,20.0,59.0,,,,,,2022-04-18 21:00:00
280,2022.0,4.0,18.0,21.0,19.0,,,,,,2022-04-18 21:20:00
281,2022.0,4.0,18.0,21.0,39.0,,,,,,2022-04-18 21:40:00
282,2022.0,4.0,18.0,21.0,59.0,,,,,,2022-04-18 22:00:00
283,2022.0,4.0,18.0,22.0,19.0,,,,,,2022-04-18 22:20:00
284,2022.0,4.0,18.0,22.0,39.0,,,,,,2022-04-18 22:40:00
285,2022.0,4.0,18.0,22.0,59.0,,,,,,2022-04-18 23:00:00
286,2022.0,4.0,18.0,23.0,19.0,,,,,,2022-04-18 23:20:00
287,2022.0,4.0,18.0,23.0,39.0,,,,,,2022-04-18 23:40:00
288,2022.0,4.0,19.0,0.0,0.0,,,,,,2022-04-19 00:00:00
289,2022.0,4.0,19.0,0.0,20.0,,,,,,2022-04-19 00:20:00
290,2022.0,4.0,19.0,0.0,40.0,,,,,,2022-04-19 00:40:00
291,2022.0,4.0,19.0,1.0,0.0,,,,,,2022-04-19 01:00:00
292,2022.0,4.0,19.0,1.0,20.0,,,,,,2022-04-19 01:20:00
293,2022.0,4.0,19.0,1.0,40.0,,,,,,2022-04-19 01:40:00
294,2022.0,4.0,19.0,2.0,0.0,,,,,,2022-04-19 02:00:00
295,2022.0,4.0,19.0,2.0,20.0,,,,,,2022-04-19 02:20:00
