Year,Month,Day,Hour,Minute,PW boom-1 [m^3/s^3],PW boom-2 [m^3/s^3],PW boom-3 [m^3/s^3]
2022,4,17,9,20,NaN,NaN,NaN
2022,4,17,9,40,NaN,NaN,NaN
2022,4,17,10,0,NaN,NaN,NaN
2022,4,17,10,20,NaN,NaN,NaN
2022,4,17,10,40,NaN,NaN,NaN
2022,4,17,11,0,NaN,NaN,NaN
2022,4,17,11,20,NaN,NaN,NaN
2022,4,17,11,40,NaN,NaN,NaN
2022,4,17,12,0,NaN,NaN,NaN
2022,4,17,12,20,NaN,NaN,NaN
2022,4,17,12,40,NaN,NaN,NaN
2022,4,17,13,0,NaN,NaN,NaN
2022,4,17,13,20,NaN,NaN,NaN
2022,4,17,13,40,NaN,NaN,NaN
2022,4,17,14,0,NaN,NaN,NaN
2022,4,17,14,20,NaN,NaN,NaN
2022,4,17,14,40,NaN,NaN,NaN
2022,4,17,14,59,NaN,NaN,NaN
2022,4,17,15,19,NaN,NaN,NaN
2022,4,17,15,39,NaN,NaN,NaN
2022,4,17,15,59,NaN,NaN,NaN
2022,4,17,16,19,NaN,NaN,NaN
2022,4,17,16,39,NaN,NaN,NaN
2022,4,17,16,59,NaN,NaN,NaN
2022,4,17,17,19,NaN,NaN,NaN
2022,4,17,17,39,NaN,NaN,NaN
2022,4,17,17,59,NaN,NaN,NaN
2022,4,17,18,19,NaN,NaN,NaN
2022,4,17,18,39,NaN,NaN,NaN
2022,4,17,18,59,NaN,NaN,NaN
2022,4,17,19,19,NaN,NaN,NaN
2022,4,17,19,39,NaN,NaN,NaN
2022,4,17,19,59,NaN,NaN,NaN
2022,4,17,20,19,NaN,NaN,NaN
2022,4,17,20,39,NaN,NaN,NaN
2022,4,17,20,59,NaN,NaN,NaN
2022,4,17,21,19,NaN,NaN,NaN
2022,4,17,21,39,NaN,NaN,NaN
2022,4,17,21,59,NaN,NaN,NaN
2022,4,17,22,19,NaN,NaN,NaN
2022,4,17,22,39,NaN,NaN,NaN
2022,4,17,22,59,NaN,NaN,NaN
2022,4,17,23,19,NaN,NaN,NaN
2022,4,17,23,39,NaN,NaN,NaN
2022,4,18,0,0,NaN,NaN,NaN
2022,4,18,0,20,NaN,NaN,NaN
2022,4,18,0,40,NaN,NaN,NaN
2022,4,18,1,0,NaN,NaN,NaN
2022,4,18,1,20,NaN,NaN,NaN
2022,4,18,1,40,NaN,NaN,NaN
2022,4,18,2,0,NaN,NaN,NaN
2022,4,18,2,20,NaN,NaN,NaN
2022,4,18,2,40,NaN,NaN,NaN
2022,4,18,3,0,NaN,NaN,NaN
2022,4,18,3,20,NaN,NaN,NaN
2022,4,18,3,40,NaN,NaN,NaN
2022,4,18,4,0,NaN,NaN,NaN
2022,4,18,4,20,NaN,NaN,NaN
2022,4,18,4,40,NaN,NaN,NaN
2022,4,18,5,0,NaN,NaN,NaN
2022,4,18,5,20,NaN,NaN,NaN
2022,4,18,5,40,NaN,NaN,NaN
2022,4,18,6,0,NaN,NaN,NaN
2022,4,18,6,20,NaN,NaN,NaN
2022,4,18,6,40,NaN,NaN,NaN
2022,4,18,7,0,NaN,NaN,NaN
2022,4,18,7,20,NaN,NaN,NaN
2022,4,18,7,40,NaN,NaN,NaN
2022,4,18,8,0,NaN,NaN,NaN
2022,4,18,8,20,NaN,NaN,NaN
2022,4,18,8,40,NaN,NaN,NaN
2022,4,18,9,0,NaN,NaN,NaN
2022,4,18,9,20,NaN,NaN,NaN
2022,4,18,9,40,NaN,NaN,NaN
2022,4,18,10,0,NaN,NaN,NaN
2022,4,18,10,20,NaN,NaN,NaN
2022,4,18,10,40,NaN,NaN,NaN
2022,4,18,11,0,NaN,NaN,NaN
2022,4,18,11,20,NaN,NaN,NaN
2022,4,18,11,40,NaN,NaN,NaN
2022,4,18,12,0,NaN,NaN,NaN
2022,4,18,12,20,NaN,NaN,NaN
2022,4,18,12,40,NaN,NaN,NaN
2022,4,18,13,0,NaN,NaN,NaN
2022,4,18,13,20,NaN,NaN,NaN
2022,4,18,13,40,NaN,NaN,NaN
2022,4,18,14,0,NaN,NaN,NaN
2022,4,18,14,20,NaN,NaN,NaN
2022,4,18,14,40,NaN,NaN,NaN
2022,4,18,14,59,NaN,NaN,NaN
2022,4,18,15,19,NaN,NaN,NaN
2022,4,18,15,39,NaN,NaN,NaN
2022,4,18,15,59,NaN,NaN,NaN
2022,4,18,16,19,NaN,NaN,NaN
2022,4,18,16,39,NaN,NaN,NaN
2022,4,18,16,59,NaN,NaN,NaN
2022,4,18,17,19,NaN,NaN,NaN
2022,4,18,17,39,NaN,NaN,NaN
2022,4,18,17,59,NaN,NaN,NaN
2022,4,18,18,19,NaN,NaN,NaN
2022,4,18,18,39,NaN,NaN,NaN
2022,4,18,18,59,NaN,NaN,NaN
2022,4,18,19,19,NaN,NaN,NaN
2022,4,18,19,39,NaN,NaN,NaN
2022,4,18,19,59,NaN,NaN,NaN
2022,4,18,20,19,NaN,NaN,NaN
2022,4,18,20,39,NaN,NaN,NaN
2022,4,18,20,59,NaN,NaN,NaN
2022,4,18,21,19,NaN,NaN,NaN
2022,4,18,21,39,NaN,NaN,NaN
2022,4,18,21,59,NaN,NaN,NaN
2022,4,18,22,19,NaN,NaN,NaN
2022,4,18,22,39,NaN,NaN,NaN
2022,4,18,22,59,NaN,NaN,NaN
2022,4,18,23,19,NaN,NaN,NaN
2022,4,18,23,39,NaN,NaN,NaN
2022,4,19,0,0,NaN,NaN,NaN
2022,4,19,0,20,NaN,NaN,NaN
2022,4,19,0,40,NaN,NaN,NaN
2022,4,19,1,0,NaN,NaN,NaN
2022,4,19,1,20,NaN,NaN,NaN
2022,4,19,1,40,NaN,NaN,NaN
2022,4,19,2,0,NaN,NaN,NaN
2022,4,19,2,20,NaN,NaN,NaN
2022,4,19,2,40,NaN,NaN,NaN
2022,4,19,3,0,NaN,NaN,NaN
2022,4,19,3,20,NaN,NaN,NaN
2022,4,19,3,40,NaN,NaN,NaN
2022,4,19,4,0,NaN,NaN,NaN
2022,4,19,4,20,NaN,NaN,NaN
2022,4,19,4,40,NaN,NaN,NaN
2022,4,19,5,0,NaN,NaN,NaN
2022,4,19,5,20,NaN,NaN,NaN
2022,4,19,5,40,NaN,NaN,NaN
2022,4,19,6,0,NaN,NaN,NaN
2022,4,19,6,20,NaN,NaN,NaN
2022,4,19,6,40,NaN,NaN,NaN
2022,4,19,7,0,NaN,NaN,NaN
2022,4,19,7,20,NaN,NaN,NaN
2022,4,19,7,40,NaN,NaN,NaN
2022,4,19,8,0,NaN,NaN,NaN
2022,4,19,8,20,NaN,NaN,NaN
2022,4,19,8,40,NaN,NaN,NaN
2022,4,19,9,0,NaN,NaN,NaN
2022,4,19,9,20,NaN,NaN,NaN
2022,4,19,9,40,NaN,NaN,NaN
2022,4,19,10,0,NaN,NaN,NaN
2022,4,19,10,20,NaN,NaN,NaN
2022,4,19,10,40,NaN,NaN,NaN
2022,4,19,11,0,NaN,NaN,NaN
2022,4,19,11,20,NaN,NaN,NaN
2022,4,19,11,40,NaN,NaN,NaN
2022,4,19,12,0,NaN,NaN,NaN
2022,4,19,12,20,NaN,NaN,NaN
2022,4,19,12,40,NaN,NaN,NaN
2022,4,19,13,0,NaN,NaN,NaN
2022,4,19,13,20,NaN,NaN,NaN
2022,4,19,13,40,NaN,NaN,NaN
2022,4,19,14,0,NaN,NaN,NaN
2022,4,19,14,20,NaN,NaN,NaN
2022,4,19,14,40,NaN,NaN,NaN
2022,4,19,14,59,NaN,NaN,NaN
2022,4,19,15,19,NaN,NaN,NaN
2022,4,19,15,39,NaN,NaN,NaN
2022,4,19,15,59,NaN,NaN,NaN
2022,4,19,16,19,NaN,NaN,NaN
2022,4,19,16,39,NaN,NaN,NaN
2022,4,19,16,59,NaN,NaN,NaN
2022,4,19,17,19,NaN,NaN,NaN
2022,4,19,17,39,NaN,NaN,NaN
2022,4,19,17,59,NaN,NaN,NaN
2022,4,19,18,19,NaN,NaN,NaN
2022,4,19,18,39,NaN,NaN,NaN
2022,4,19,18,59,NaN,NaN,NaN
2022,4,19,19,19,NaN,NaN,NaN
2022,4,19,19,39,NaN,NaN,NaN
2022,4,19,19,59,NaN,NaN,NaN
2022,4,19,20,19,NaN,NaN,NaN
2022,4,19,20,39,NaN,NaN,NaN
2022,4,19,20,59,NaN,NaN,NaN
2022,4,19,21,19,NaN,NaN,NaN
2022,4,19,21,39,NaN,NaN,NaN
2022,4,19,21,59,NaN,NaN,NaN
2022,4,19,22,19,NaN,NaN,NaN
2022,4,19,22,39,NaN,NaN,NaN
2022,4,19,22,59,NaN,NaN,NaN
2022,4,19,23,19,NaN,NaN,NaN
2022,4,19,23,39,NaN,NaN,NaN
2022,4,20,0,0,NaN,NaN,NaN
2022,4,20,0,20,NaN,NaN,NaN
2022,4,20,0,40,NaN,NaN,NaN
2022,4,20,1,0,NaN,NaN,NaN
2022,4,20,1,20,NaN,NaN,NaN
2022,4,20,1,40,NaN,NaN,NaN
2022,4,20,2,0,NaN,NaN,NaN
2022,4,20,2,20,NaN,NaN,NaN
2022,4,20,2,40,NaN,NaN,NaN
2022,4,20,3,0,NaN,NaN,NaN
2022,4,20,3,20,NaN,NaN,NaN
2022,4,20,3,40,NaN,NaN,NaN
2022,4,20,4,0,NaN,NaN,NaN
2022,4,20,4,20,NaN,NaN,NaN
2022,4,20,4,40,NaN,NaN,NaN
2022,4,20,5,0,NaN,NaN,NaN
