new_index,L_sonic1,L_sonic2,L_sonic3,L_sonic4
1693,-328.9615247601644,-351.1831401699116,-359.9408962136899,-375.57111089856636
1694,-357.6651406129187,-332.6682715837651,-298.9427508749491,-364.55035387314507
1695,-342.41586452880944,-349.27637906703666,-356.1828957892613,-435.7249084275756
1696,-327.2435070804506,-436.9165669862358,-405.6525066592515,-529.2004314051047
1697,-390.02608899573613,-341.83063557425186,-389.303372098111,-445.1093127323079
1698,-339.19061992385247,-383.6191902011299,-376.6171229873388,-326.71328557850916
1699,-351.1302891842305,-394.2979105333361,-373.2507520572086,-463.6534755651436
1700,-333.18994869126965,-374.16380133841807,-338.7424187207652,-429.336714916422
1701,-314.14440822990383,-327.752503349868,-321.18331351760577,-434.07141597886914
1702,-392.07913049450497,-322.338210361871,-331.42917135291,-414.88730768005684
1703,-352.08901237051185,-366.4686506757942,-352.9787182008805,-472.2093831737741
1704,-302.15426401562576,-315.42280764125525,-297.72553669296326,-387.1167971374635
1705,-335.9653753188955,-388.65668948159396,-375.5037054347988,-461.5596411582516
1706,-334.6535589505379,-347.6767426210019,-301.64841068438795,-420.9400969585777
1707,-328.2583771532372,-357.7321514725058,-328.0211890671861,-474.6870224620175
1708,-319.20067821058205,-320.34531392678844,-282.65122155416634,-321.8709011132021
1709,-299.0259915521609,-307.94312949078756,-289.11407910690235,-336.7653103699638
1710,-259.39693141374636,-263.34028440789376,-218.1920216359818,-215.34375058668476
1711,-261.97437596371276,-287.29203406487704,-292.5864688077947,-332.9796886826376
1712,-231.3710437534487,-258.45154706288645,-204.87428439122988,-226.5912591507833
1713,-226.38703056660336,-232.46483519593977,-208.00399447474402,-252.26679802707244
1714,-209.71625915133518,-226.50142913972738,-227.29157242285544,-246.59033262011866
1715,-184.71253389937735,-179.89405079637478,-180.34359969325527,-197.7239404918745
1716,-162.67448741946643,-167.1700781633272,-176.084431838954,-176.79732138263884
1717,-153.21580593880967,-152.8873774024303,-158.51346693991445,-172.0297647314539
1718,-145.40399776907392,-144.08184247822945,-136.80585703444925,-140.1954497625006
1719,-153.43708258639396,-146.34789711685275,-157.27378725415983,-168.40019868035236
1720,-164.82516260814634,-162.86435809579956,-162.58475545974952,-128.77762368436356
1721,-153.870238068921,-147.0039166088388,-141.2278857898417,-147.93677287827
1722,-186.9137244063779,-131.16165439497018,-111.03222928113757,-110.70578595703125
1723,-186.1225836954888,-153.6561534610438,-122.74555038114777,-147.98153362982669
1724,-155.9662063562153,-163.04331632476845,-135.97725444268508,-158.94191824206754
1725,-156.32584807036625,-189.58670463194954,-182.71483549773023,-180.8486717872966
1726,-157.36821623521575,-166.608112280234,-158.9196662299451,-174.12661679741947
1727,-166.36596557787246,-176.70563115208708,-133.89019394518766,-154.7375255278399
1728,-181.4554246064142,-199.286907499623,-132.06486333131323,-152.06585990005294
1729,-181.9742797440129,-203.11565695887072,-185.57921423827557,-207.14850505042705
1730,-200.62969144562302,-218.4762887773641,-205.7120563179174,-209.38432488647638
1731,-207.0220590215664,-249.4274171010526,-226.2486855479577,-247.03614535760744
1732,-205.0140562732408,-262.74580473877654,-263.253192671246,-299.07419432228926
1733,-191.9796465634239,-261.2252540545213,-274.6169293911187,-301.2501507596733
1734,-213.57862867116975,-221.890762093577,-218.44497937184437,-287.415000196289
1735,-206.90640542630183,-247.23499313180795,-250.71484686962606,-258.02756859020946
1736,-223.62545281737505,-229.7892526734026,-223.6365483673463,-249.07077223874128
1737,-248.2797866287786,-215.7108117014261,-248.07240956471773,-220.86156825001865
1738,-251.31558708399498,-247.85546223523303,-271.49102253761805,-308.6742202406989
1739,-294.564451784896,-298.4002014179175,-295.7152867177804,-380.1660174544492
1740,-303.85187141042684,-285.09221520029695,-309.62234864039306,-359.84111527679454
1741,-312.3506585317481,-253.89885164236588,-291.4738751900242,-365.17989515118296
1742,-337.29474782371284,-268.10278328902484,-297.9668083249873,-469.8614283396664
1743,-317.0859564004721,-240.05283535777048,-246.3949132341162,-309.4279553584045
1744,-279.6352816106861,-251.05595500752187,-296.8736836072045,-334.5424247316125
1745,-353.0091416934397,-309.75453572361715,-348.04895684002435,-438.5265115272445
1746,-349.2146319697791,-294.25038385772643,-321.2922683630431,-453.1194629970966
1747,-401.15797841723264,-342.4535919553265,-388.5560665603372,-453.9396380354791
1748,-442.5094375323505,-391.8631411476117,-540.3155521918374,-613.7299030743171
1749,-411.8763936744136,-349.1215672160724,-369.7488674475705,-543.2287333011254
1750,-416.340239112069,-347.59433476850097,-408.62140287573675,-635.5856271117023
1751,-483.4864781798105,-409.1217381416663,-407.53265569109516,-524.4408818916573
1752,-426.5608071838041,-397.49993932907137,-388.80719764719424,-572.5864193145485
1753,-507.6317444740905,-455.2459994118863,-464.1536249475479,-682.4324923738043
1754,-485.7850961123894,-450.4905258673732,-449.7681784694227,-617.5126793168942
1755,-596.2603832670679,-429.8187766066751,-447.62215398646714,-585.5716950183252
1756,-512.962356784614,-434.5850907405707,-503.67996064861455,-656.6912487766087
1757,-519.9391338760349,-427.77897874765677,-475.8069065754842,-813.1613022650604
1758,-456.23639890587015,-400.3873643795034,-429.03718376856585,-664.6777678353902
1759,-509.1585520738691,-441.110841733899,-437.7396866782815,-692.290158879981
1760,-517.5758377004146,-439.21735429392487,-485.8038447090242,-732.4663380262052
1761,-543.6297858565146,-487.6606198143992,-480.1910845395603,-764.6011334278214
1762,-511.38879884460647,-421.8003812982609,-347.40921450857337,-668.3074037087515
1763,-532.646592086255,-471.67352106341923,-362.2349442030343,-657.2474235356046
1764,-543.9186478095132,-465.3556938887162,-540.6617024349623,-940.3040320807023
1765,-592.9245098893451,-542.5183934616603,-491.60263131721507,-867.2673292890221
1766,-578.239256842831,-495.5485070904466,-585.0505917383003,-829.7057089140995
1767,-567.2648821571358,-465.2027335052525,-535.76659229248,-802.3768671898735
1768,-701.3804933612869,-575.8141282206644,-671.2714535320232,-930.8975993918903
1769,-577.6340062022745,-517.3045008084877,-573.299090422153,-737.1304404155355
1770,-700.4472855640789,-512.3378226704364,-680.1568270917782,-1038.3152368220726
1771,-577.9366315225527,-584.668885243768,-710.3383299844875,-928.4517802944803
1772,-577.9366315225527,-554.6486899028613,-634.9547583359737,-958.3074391636444
1773,-702.9982103203852,-571.5477411126342,-648.1852475574084,-905.0387482374549
1774,-578.0879441826919,-573.6197618730021,-674.8723898503586,-857.2285071204955
1775,-605.3329816117463,-510.1371602786764,-565.497514275102,-874.5639547866518
1776,-563.5908838848957,-459.20442201343457,-518.1593452996366,-667.9135008309863
1777,-499.3448890636897,-491.0999119882509,-545.0603096763629,-822.9924383368451
1778,-544.2896365351303,-478.98435167528714,-547.6011096811335,-732.448106961537
1779,-543.012701020556,-492.42095011939494,-541.5192617751185,-900.5341449779148
1780,-582.5278744651679,-504.5552826857165,-544.4744593686797,-969.4336437660589
1781,-573.039810479056,-504.8520838918535,-537.6629398988044,-1079.988709720378
1782,-726.8219547770542,-577.2146188348987,-600.6250218283618,-1312.8204638566326
1783,-705.8727738844876,-697.3696162866399,-699.3315649966406,-1190.8836135798545
1784,-591.7493031013828,-523.1736231146235,-548.0124388593316,-1816.065163621314
1785,-733.0591103915908,-516.65539169665,-633.2850206195467,-1318.6769930215908
1786,-709.3590928485813,-639.292164173803,-613.3417180624102,-1358.183295183905
1787,-591.9694255640691,-461.8412058876848,-434.1479104887583,-865.4335686649945
1788,-522.4116536725705,-436.4628844899019,-468.1138316129631,-752.6170653328901
1789,-540.3280965179483,-488.529222565895,-443.027245148207,-699.7443739250762
1790,-532.4726854150289,-536.2100859505707,-512.6033915597757,-942.0049840208922
1791,-602.6989885096539,-637.3200779584645,-548.4237680375297,-1086.4832089666943
1792,-591.5291806386965,-710.5434799147421,-587.7702983183366,-1559.2835165068457
1793,-606.5866381916819,-692.6849500508849,-675.4994328745578,-2032.8925383486917
1794,-613.1923237185033,-634.6068892460407,-557.9512340428919,-1263.6085399267974
1795,-667.5049646295465,-828.0812324794658,-706.2768492683538,-1511.9777385552193
1796,-558.3990651990646,-640.6482347297931,-557.8362248384278,-1279.1267657491637
1797,-466.53888520066806,-490.22364586431394,-434.37324154783676,-610.9106964624913
1798,-373.0949407691951,-461.0247565110616,-404.0895448919468,-604.1577290646876
1799,-350.7800682693515,-448.4789770625656,-394.2352065541686,-501.0987419289597
1800,-396.02099545622247,-477.09130204242973,-398.01501345200734,-475.2739832969477
1801,-351.6055951996145,-426.8393620363134,-421.9954317788736,-536.1005435965719
1802,-463.5231372118642,-562.0061586213906,-552.5546874471848,-622.6204359688563
1803,-346.7074498308725,-456.03544682336803,-413.0545125356962,-506.8976023556428
1804,-343.2983774220016,-350.27099875406276,-344.21900819706144,-425.84471224870344
1805,-348.16380749001956,-433.3778999553314,-438.182738494341,-564.0681647741841
1806,-273.4575189238956,-282.46222324091383,-294.27325098597066,-497.4029692061555
1807,-291.6790617414146,-335.9746762263908,-385.7483342169461,-619.0453449298702
1808,-317.2866082730143,-386.84291197336586,-319.17407715139825,-517.5980570684512
1809,-352.92297937320535,-443.16291141478973,-474.76206256493015,-644.133597359632
