new_index,Ubar,U_horiz,U_streamwise,Umedian,Tbar,Tmedian,UpWp_bar,VpWp_bar,WpTp_bar,WpEp_bar,TKE_bar
7969,9.40897626531365,9.459456377805749,9.469074328924076,9.435251328084634,280.8872466145833,280.86,-0.1377375893379848,-0.010636533581255901,0.0770283445522185,0.0556818162762539,1.0584539122970582
7970,9.878646978763978,10.332817198749224,10.344071913000644,9.70635226352158,280.4656067708333,280.45,-0.1548053649883734,-0.0100039103419174,0.0959569452745329,0.0326547454526502,1.2871060973618866
7971,7.506420622975637,7.582978750135211,7.590538946539444,7.514653050306304,280.1371635416666,280.08,-0.0971143726174726,-0.0042587168428521,0.0638627574288124,-0.0041799308746805,1.058566958108046
7972,6.788694598398991,6.84480739636193,6.851413252767324,6.774784861663001,280.1172291666667,280.06,-0.0585499258354511,-0.0147126423701667,0.07814469575834332,0.0061321818026691,0.7641178703379652
7973,6.824505405888838,6.9026180693455945,6.909307506614555,6.789028498221595,280.1105151041666,280.03,-0.0753580218580722,-0.011857324090141,0.07777257868963505,0.00641402594567,0.9617090911775716
7974,6.618805744675535,6.686884931039079,6.6946842127508805,6.590341153071477,280.2330635416667,280.16,-0.0632552834468058,-0.0112691568205944,0.07927574336314275,0.0249042648565569,0.881407592250095
7975,7.380635961107163,7.459553733102636,7.467615762194323,7.351987431222444,280.45344479166664,280.41,-0.0706725032608298,-0.0087386638632404,0.0605667324840066,0.0291435109604521,0.9610985927108424
7976,9.323208674251346,9.384838194132206,9.396310215314784,9.234031782673725,280.6456161458333,280.61,-0.1748685492165491,0.0016615968484529,0.0800346738992339,0.0071225105041667,1.7130658570257569
7977,10.010792731690731,10.062087622170807,10.073218740329624,10.044190508993823,280.60928515625,280.58,-0.1762534996471045,-0.0114438588738192,0.0750875879590233,0.0681472896944586,1.2654179576544526
7978,10.222297870746026,10.271029597021364,10.282347207659685,10.207393006016762,280.42077760416663,280.4,-0.1658604143763438,0.0082426694587063,0.0829015822870566,0.0394935916844024,1.2228060881375462
7979,10.311074508153622,10.38575466491414,10.398140274540436,10.308867263053507,280.30046640624994,280.27,-0.1754350901256462,0.0046491017980045,0.0876324112107267,0.0419397644880747,1.531483295735609
7980,10.313552288554371,10.37043673624427,10.381599453031232,10.314565125928034,280.18517526041666,280.15,-0.1783014127254702,-0.0292132212201583,0.0876587440270825,-0.000202891129703,1.3889580260518728
7981,10.034975028217056,10.102481148472636,10.11264094964085,10.06460813512746,280.00846510416665,279.97,-0.1432221114297426,-0.0174602950518991,0.0808203168694481,0.0183554121302077,1.2573579924867757
7982,9.66217626756123,9.818534581188542,9.82872092158281,9.612269403479806,279.9389940104167,279.9,-0.1158377966870061,-0.013959324098030424,0.0823617996556117,-0.0339573310308824,1.352443032891066
7983,10.457347819265005,10.52995331993449,10.542231726629185,10.49535880961682,279.58741354166665,279.54,-0.2108181844467865,-0.013959324098030424,0.0926711626560712,0.0915793193098826,1.8987786761576333
7984,9.258452454115156,9.328548861453026,9.338657835558989,9.212331980109903,279.2966213541667,279.26,-0.1434999935151951,-0.0343363868887912,0.0846904463032232,0.0562623088516808,1.46711959130544
7985,8.836827944792914,9.111822044843354,9.121703984797511,8.885356149730946,278.8389783854167,278.79,-0.1602425026106566,-0.01451336010139015,0.0944612344707823,0.0214429141214728,1.4854000052204217
7986,8.947521692361219,9.025099721558371,9.03401089867751,8.906534909173807,278.3203828125,278.26,-0.1139862415887985,-0.01598419941914745,0.0907954312542323,0.0109109642353593,1.3147224318923274
