,z0_s1,z0_s2,z0_s3,z0_s4
125,0.00020821430705867248,7.192440558907065e-05,4.6352633463768066e-05,4.0256534013786196e-05
126,0.00013143671848393301,4.7187959370479035e-05,6.369780094044156e-05,0.00015403828108875273
127,0.00011829502416845377,3.3403501285725534e-05,9.42360637917048e-06,3.022322108434501e-05
128,0.00013197810254771434,6.315068806285565e-05,2.02685272811838e-05,7.093628380242237e-05
129,0.00013988862550441382,6.978366451375516e-05,7.741256804048434e-05,7.646719756442857e-05
130,9.783246790180734e-05,8.953101373044992e-05,7.831909547709309e-05,0.00011246619450577819
131,6.92095596983995e-05,3.441752137332611e-05,5.9995024516611774e-05,5.1841700563420155e-05
132,0.00010083135713275162,2.351184559955331e-05,5.6682799984942985e-05,0.00012078091036448848
133,0.00018196640622954142,7.839724751018798e-05,0.00015145175623440464,5.498255622530342e-05
134,0.0002336348062642192,5.488192194976673e-07,2.040172198844146e-05,6.4119902301765325e-18
135,2.868908423219908e-05,2.914288889269624e-06,7.163951124868956e-06,8.720690312699689e-06
136,8.313352701062698e-05,5.87627620937911e-06,1.1180609840439406e-05,7.937502295452609e-06
137,5.359432571716625e-06,2.165012267855984e-07,5.119596015375531e-10,8.025748172461393e-07
138,,5.387158091915194e-05,6.328280432706258e-06,0.002179175765103279
139,0.0013552986823684042,0.03848346964711793,0.0904380157490532,0.28766090931425364
140,1.0030714976403129e-06,2.454164678415025e-09,0.00021686012553066391,0.00012407393158474504
141,0.0002157490577653222,0.0001730563809435048,0.000307413512177284,0.000108169280450579
142,3.4593255842017926e-05,3.54944002317142e-05,0.00014980962686262823,4.2931681766589175e-06
143,2.7264958300627144e-05,5.212049662608427e-06,3.490641605410587e-05,2.636494451824108e-05
144,0.00037017306875193655,0.0005769860004157258,0.0029270922250240355,0.0006741364542412428
145,5.229229128005691e-05,2.4659068081055745e-05,9.527187570489069e-07,2.2350201139133224e-06
146,4.234272141167514e-05,0.013405875070385502,0.01393574414546846,0.01475605992650669
147,1.9831112743543617e-05,7.341633430620874e-05,0.0010662314950029607,0.06523934684955168
148,0.00018959632457029433,8.619562185398983e-05,0.003113410852368408,0.00917022745318456
149,8.98964245442921e-05,5.239677148377912e-05,0.007949246987582837,0.0011514177484575553
150,0.00010918404709726268,0.014633318747475732,0.001693655483138699,0.0058553432241059515
151,,,,
152,,,,
153,0.00025768231007105896,0.06512139923180946,0.0006958598965053855,0.003739175711005612
154,0.00017201626185567068,0.00020694443352519545,0.00045076931532959876,4.489437471001734e-05
155,0.00020794736715276912,0.0008812343914257485,0.0031608923413022653,0.000497918533867435
156,2.8183643533056695e-05,7.173885785470982e-07,1.2727844574955966e-06,7.910205793061567e-08
157,7.090916874074976e-06,0.00019463856394417775,0.00046693522313830116,0.00035758008418450374
158,8.543193762133767e-05,0.000338278776098807,0.0003254570093456624,0.0007264178394609939
159,8.922223736311485e-05,0.00012352313947827973,0.00020232912190246976,0.000573182876460721
160,0.0004259893043228379,0.0001424117807345365,0.00016396290526642348,6.136396929213355e-05
161,0.00036730073077344125,0.00015307791605295124,5.266506443690668e-05,2.02129321414597e-05
162,0.00019639959573112994,8.551223292822238e-05,0.00016520786224707548,0.00019960152500826786
163,0.00020905645015787872,7.770031433304713e-05,9.716173405583805e-05,4.202833560134305e-05
