,Unnamed: 0,eps_sonic1,MAD_value_1,MAD_criteria_met_1,eps_sonic2,MAD_value_2,MAD_criteria_met_2,eps_sonic3,MAD_value_3,MAD_criteria_met_3,eps_sonic4,MAD_value_4,MAD_criteria_met_4,epsU_sonic1_MAD,epsU_sonic2_MAD,epsU_sonic3_MAD,epsU_sonic4_MAD
52,52,0.053092854936679,0.1457305877443121,True,0.0258307321974136,0.1378273118617796,True,0.0169739802456283,0.1443140365677373,True,0.0138150053797525,0.179645775749004,True,0.053092854936679,0.0258307321974136,0.0169739802456283,0.0138150053797525
53,53,0.0441967324616629,0.1473294173163505,True,0.0216735086545007,0.1282166861125605,True,0.0133602651880423,0.1439289763370983,True,0.0111461503245358,0.179097773216675,True,0.0441967324616629,0.0216735086545007,0.0133602651880423,0.0111461503245358
54,54,0.039057031623676,0.1498084320211807,True,0.0190026146940324,0.134141475866363,True,0.0120178500091267,0.1439231638170535,True,0.0096512820275718,0.1813503589725894,True,0.039057031623676,0.0190026146940324,0.0120178500091267,0.0096512820275718
55,55,0.0333977501711153,0.1345522641488141,True,0.0135095520131696,0.1347233121286649,True,0.0083475345216013,0.1386338642014856,True,0.0073739405162269,0.1787145303217648,True,0.0333977501711153,0.0135095520131696,0.0083475345216013,0.0073739405162269
56,56,0.0267968506351135,0.1324391119490818,True,0.0113837410344255,0.1323950740218337,True,0.0072411850288944,0.1273694011569051,True,0.005582295834323,0.1862761170711255,True,0.0267968506351135,0.0113837410344255,0.0072411850288944,0.005582295834323
57,57,0.0199817096732636,0.1204023932374252,True,0.0062148954090392,0.1399129673208464,True,0.0043389628786452,0.1477670579680716,True,0.003694519618603,0.1946376760222669,True,0.0199817096732636,0.0062148954090392,0.0043389628786452,0.003694519618603
58,58,0.0226274839860116,0.133502903332761,True,0.0090088104461275,0.1343395695323771,True,0.0061497003302165,0.1529579194682149,True,0.0055647584002349,0.19844856314095,True,0.0226274839860116,0.0090088104461275,0.0061497003302165,0.0055647584002349
59,59,0.0231165136677896,0.1256187260955336,True,0.0078103927669179,0.1342888371375956,True,0.0049954055555723,0.1467679364399445,True,0.0038628865559104,0.1945649154096556,True,0.0231165136677896,0.0078103927669179,0.0049954055555723,0.0038628865559104
60,60,0.0243154107972687,0.1331853049294735,True,0.0121253737371424,0.1318832405866317,True,0.0075525489148723,0.1511555968433251,True,0.0059293682711973,0.1971752817342685,True,0.0243154107972687,0.0121253737371424,0.0075525489148723,0.0059293682711973
61,61,0.0355634209082318,0.1361972167538905,True,0.0153858436576174,0.1277466098296271,True,0.0088837362990219,0.1413437464451045,True,0.0080032473311788,0.1879696925495996,True,0.0355634209082318,0.0153858436576174,0.0088837362990219,0.0080032473311788
