,rho_bar_1,rho_bar_2,rho_bar_3
118,1.237360486248387,1.2374262119633805,1.2365215512933094
119,1.2384058580809405,1.2384636422570978,1.2375970628254511
120,1.2377813363610664,1.2378362948713106,1.236838130517827
121,1.2372792467633646,1.2373316861031731,1.2364288865611928
122,1.2360252778008511,1.2360781101841227,1.2351986554919345
123,1.2329001043985226,1.232956246324598,1.2320285803980655
124,1.236615818197616,1.2366668388539255,1.235848493595599
125,1.2300724872109357,1.2301448758617013,1.2290243847198434
126,1.2310044447123147,1.2310793727894542,1.230012172287319
127,1.2334041059529712,1.2334760310655988,1.2325249890503391
128,1.2341227508429282,1.2341933412005637,1.2333283441649734
129,1.2329862856947975,1.2330527648336156,1.2321168326080858
130,1.2321997957388986,1.2322620705648977,1.2312642748686486
131,1.2319227326957116,1.23198336487614,1.2308803483310045
132,1.231697475920177,1.2317530093058264,1.230579968775865
133,1.233580269773051,1.2336307419972217,1.2327736282287751
134,1.2386408292039217,1.2386811137036424,1.2381268481994534
135,1.2395272818611256,1.2395663169342663,1.2390037773833225
136,1.2389076433148172,1.2389504294514326,1.238297346864953
137,1.2398444642883362,1.2398970871473387,1.239137163610648
138,1.240623495405325,1.2406818574548644,1.239781298972304
139,1.2409901664025365,1.2410455756252734,1.240289630426099
140,1.2454819340833434,1.2455470076223634,1.245027496050169
141,1.249270182420545,1.2493375635520867,1.2491094043856004
142,1.2502768370568644,1.2503482176285885,1.2502275761992119
143,1.250830340765617,1.2509039161472362,1.2506726228313811
144,1.2519370715853413,1.2520015899537544,1.2517706625003684
145,1.2527900804406142,1.2528591754884653,1.2528348571874544
146,1.2548438584981756,1.254895182920185,1.2549326793534858
147,1.2552027957344023,1.2552393908783823,1.2552360425622269
148,1.2554749964713054,1.25550678848816,1.2555416120606242
149,1.2571086835797314,1.2571381259610948,1.257260526077095
150,1.257844889595557,1.257891590813382,1.257973576272424
151,1.2580281324489102,1.2580820846830756,1.2583789434258048
152,1.2576390383497893,1.2576928337504891,1.2580949196881368
153,1.2581433169040268,1.2582000338358843,1.258353843385143
154,1.257771556713355,1.257816857092687,1.2579996496076191
