,alpha_s1,alpha_s2,alpha_s3,alpha_s4
6585,-15.2439507980657,-17.07538940279593,-18.140228365155007,73.90420506327632
6586,-13.042063833405548,-14.732513499023051,-15.961952931942378,75.9664988713049
6587,-7.014641810454833,-8.608504968423933,-9.904564564919228,82.02275050042249
6588,-4.937327186130934,-6.431393329438745,-7.86251686681608,83.93124229192256
6589,-5.714811279261869,-7.385531999312384,-8.747570921138692,83.20838579651098
6590,-6.342734493877324,-7.959264178741368,-9.627471653174434,82.14185337605609
6591,-9.369566989375151,-10.922856079582276,-12.338481261373014,79.63381081296272
6592,-4.739228843522403,-6.258338086165795,-7.591753521977424,84.42052215842982
6593,-5.638497077521353,-7.074042112156504,-8.54209351692023,83.1399236588333
6594,-3.147156515941856,-4.7172372250474615,-6.127857183421457,85.73404324539354
6595,-3.0596587196877887,-4.60206892378497,-6.1147399139646375,85.77174892523865
6596,-5.080703128175374,-6.543509984657423,-8.048135680754845,83.86375019029758
6597,-8.825445666357234,-10.486703196223829,-11.991399205278428,79.96523514603466
6598,-7.301856049373461,-8.95952150062394,-10.514331460780255,81.43590905157292
6599,-7.219872915704807,-8.808642931415365,-10.316367684425948,81.72112719442342
6600,-1.448262852221763,-3.012681512026209,-4.503070708816649,87.5250159177712
6601,-3.508676111789007,-4.966618016394761,-6.235859913241612,85.85540788631664
6602,-3.952546195595814,-5.583608894167777,-7.254759472133941,84.71106266780178
6603,-6.261439991761212,-7.838069183856571,-9.23290396985218,82.9545583499262
6604,-19.67000662998741,-21.26265470039072,-21.96330371703774,70.35537095227751
6605,-28.735687543454368,-30.217162656842167,-31.14811187800127,60.74442724199743
6606,-29.12477962882415,-30.33688881657922,-31.349709894737664,60.45920352626431
6607,-16.482311975443096,-18.189498350803497,-19.248773678498065,72.86166089387608
6608,-11.59412620504508,-13.0736235950841,-14.382112480597678,77.8057052045777
6609,-1.414622313440832,-2.91931426777346,-4.729608660539063,87.53137433420105
6610,4.28049259655849,2.438953110175653,0.0616444023489567,92.01545778947
6611,-7.041190009527907,-8.867777706134623,-10.91281303331532,81.1243026252924
6612,-5.998214794316748,-7.580772576552645,-9.16291908839806,82.91316732616049
6613,6.989541614270736,5.398127077377227,3.3321613202490696,95.54882089095788
6614,0.2222941708508731,-1.496028403081312,-3.5256958933656057,88.40934716631894
6615,-2.561375792998035,-4.480004113491739,-6.41682504198136,85.54302669999677
6616,-2.246559259649324,-3.581859011278878,-4.927981339842539,87.607958578095
6617,-3.066910647252528,-4.83037149604034,-6.832082403498819,85.52059051747652
6618,-18.85574154236888,-20.88464253202843,-22.619603601487658,69.36049154488224
6619,-26.85977780193684,-28.52275861834781,-29.738224192888595,62.0237177863015
6620,-26.215593817794847,-27.724152928269703,-28.819327898023715,63.03555017025772
6621,-24.75000827983451,-26.2449738749633,-27.37979260448897,64.6933028136404
6622,-10.108568677467378,-11.75661043991583,-13.35826107937102,78.55921002249255
6623,-8.485877943502837,-9.720153355872872,-10.959227610982,81.7254532892052
6624,-13.244924104936809,-15.192700666425656,-17.08416141882534,74.79629069067138
6625,-23.601233956779748,-24.74926797165634,-25.89203103408915,66.48864622529581
6626,-13.67744157970206,-15.67582463885434,-17.653795046324134,74.99207256594877
6627,11.518355659511649,10.34192154660415,7.970457412845413,100.132079298941
6628,10.68920404242061,9.086494785395686,6.388090460559743,98.44073374496264
6629,-4.48843369301001,-6.072976728585332,-8.049067966097395,84.76080405094667
6630,-12.812010867717346,-14.365260973156497,-16.47774040616805,75.40821266446603
6631,-4.039447770676771,-5.592597331822575,-7.585695131992157,84.32495485519881
6632,-8.411015620170984,-10.014447143299336,-12.250891062756878,79.72793941552872
6633,-13.569375959456348,-14.968964018477669,-16.40959744270999,75.72506019481408
6634,-9.766832962426667,-10.847283535409352,-12.235140181489236,80.01218387977997
6635,4.987786823837691,3.58554160429704,1.301972385193413,93.82893163268012
6636,-2.567535440001228,-3.7233699468889223,-5.59709912588684,86.67479456861544
6637,1.4734180948327222,0.4748960444918103,-0.9390860966372084,91.77650512998382
6638,-0.7210185821860642,-2.148115563884101,-4.289038327265158,87.67082198207784
6639,-177.3234785839314,-10.024861309552644,-11.071041498357564,81.58348119810479
6640,-1.113959180048996,-2.7435740233282444,-4.50228035198102,97.08143895498934
6641,8.637573724113128,6.453804007124647,3.52345556500066,99.08592390524328
6642,27.927947256541284,26.11020085316491,22.967547944618275,116.21850834938742
6643,26.51290624584308,24.678734792048232,22.11204158707202,114.75895623096142
6644,20.048207529376437,18.232828740864477,16.370468371204176,109.3766684590937
6645,177.09037998267303,0.3773856748394322,-0.7954746713870032,91.4523963860739
6646,-2.610121010633556,-4.173859337315514,-5.684744634277492,86.2500082778836
6647,-3.23254423026844,-4.523699326896407,-6.4812448392176485,85.14997850224476
6648,-177.23744251109824,-9.495439017275478,-15.92534870159386,81.19255316844327
6649,-19.931547733577364,-21.6464700124876,-34.290806892785334,68.20103851904518
6650,-42.45270030167752,-42.828819248738526,-44.45315482185098,47.36578342642422
6651,-24.50623155049046,-27.006425014964183,-30.69641259800233,61.48043336099937
6652,-36.64559422343343,-38.560723343042525,-42.346045175693305,46.81166300863049
