,thetaV_sonic1,thetaV_sonic2,thetaV_sonic3,thetaV_sonic4
77,281.9052404139908,281.7542295040268,281.92091176076553,282.60622636750423
78,281.8345881472968,281.6824915697043,281.8481076575916,282.5641259332172
79,281.8109894823648,281.6600747105866,281.8272276272445,282.54460073910485
80,281.90175492717225,281.7544009847644,281.9242423649416,282.62362872316857
81,281.8464394925388,281.689278287901,281.85160817256343,282.5808839140188
82,281.8096725389027,281.65592046549557,281.82135717996766,282.5872459358033
83,281.8478605601735,281.70150088199324,281.8717752795716,282.644072246428
84,281.9343872877075,281.7967120969112,281.9680415531814,282.7134366511884
85,281.8177572661215,281.67118807083074,281.83846720485695,282.57805044811397
86,281.8104506679435,281.6706612441124,281.84093025440444,282.5858879813837
87,281.90340932497156,281.7697843324094,281.9403094991348,282.6784726871436
88,281.9097367766798,281.77720147313016,281.9499651697318,282.7232743181586
89,281.89318473602214,281.75937334560524,281.93146827377524,282.717825368126
90,281.9284911450361,281.7989847032355,281.97219056317465,282.7414939308926
91,281.8095124760152,281.67524288304855,281.84545685224356,282.5660693327943
92,281.75960684914827,281.62861032058896,281.80464837669416,282.48348435987447
93,281.7702942296223,281.6410008757094,281.81240982314375,282.3965540136436
94,281.7691154922211,281.6406602949465,281.8144519603094,282.3991235170502
95,281.7195211231412,281.58679366460694,281.76693242100384,282.30945375431116
96,281.58180758869844,281.42943891621127,281.59249606827296,281.9102168005769
97,281.6382276004434,281.50992701652973,281.68007806468785,281.9595304620041
98,281.84886231920837,281.73054463162606,281.91420840684964,282.29243175224343
99,282.12607429558835,282.02921805158076,282.21139275259435,282.6982944752648
100,282.3765742436542,282.2984695179274,282.4944537275859,283.0762442974699
101,282.521344202139,282.4514970914754,282.64778644344204,283.27428424161633
102,282.43335987077603,282.3544327068217,282.54424994705624,283.17551357002395
103,282.4296188210612,282.3468149984632,282.5425852482466,283.15437096683377
104,282.55472232911393,282.47610812523965,282.6709600973044,283.19790231272214
105,282.570270646464,282.4869374989812,282.6798799224015,283.1745915235158
106,282.7191335136377,282.64464221574315,282.83744579632605,283.32941759698264
107,282.86271332405266,282.7853918834125,282.98711021538344,283.40773157577183
108,283.1548640514057,283.08944744367,283.2954858717328,283.8380907437525
109,283.37353832410827,283.31611386853643,283.52043921313333,284.06570370406587
110,283.36024397309524,283.29654021942844,283.50180117289455,284.19995527515897
111,283.2438115099409,283.1675957822195,283.3679852135248,284.04444423888714
112,283.3464196224102,283.27269717287004,283.47934397220956,284.1121006117437
113,283.25025453981965,283.1772611706318,283.38811114296146,284.1245658699965
114,283.48534068348624,283.4155333261474,283.6241531420359,284.2822595616748
115,283.5024629216832,283.432287081957,283.63563111075365,284.15829705495804
116,283.5236321866946,283.463256049276,283.67836132307207,284.2202436905224
117,283.59688297816564,283.53710933768696,283.74935389112176,284.2858597013224
118,284.10842852865187,284.08618025200093,284.3173698335705,284.89516940360414
119,283.843454468659,283.82428057605745,284.06584631750326,284.69355334615227
120,283.95095703453524,283.93746477929056,284.16816845249025,284.6074468251873
121,284.0318641458956,284.0104949545246,284.2394602657896,284.7655353704295
122,284.24520846294473,284.2349560361105,284.47089427214104,285.13408654548385
123,284.78993536411673,284.83424834140743,285.0912171855566,286.00902310207687
124,284.1128408265652,284.13490218845845,284.402774770891,285.3141093610413
125,285.27507982281173,285.4022185742543,285.70773999908863,286.804393742663
126,284.9169146244237,285.0204705210597,285.3105461256526,286.57332035171595
127,284.3629671113306,284.41319510616245,284.6840973031515,285.835925171888
128,284.26336072016346,284.32351218113234,284.5932596712314,285.5656663853767
129,284.57790460306745,284.66911466042814,284.95096119652294,285.8680916178032
130,284.6832260349008,284.80569420564916,285.1091005254902,286.04824199919153
131,284.7778514616416,284.9262687287714,285.2363192773154,286.1969612077484
132,284.8300545677429,285.00499562175787,285.3063136609645,286.3123918893337
133,284.36267845969724,284.45779267290015,284.71996365125443,285.7673932084092
134,283.37759606232544,283.37678876394864,283.60307511389794,284.3764445762731
135,283.34965220020433,283.3525670225161,283.5942135499881,284.08001011101817
136,283.4899793988699,283.51074456640197,283.77081761466803,284.1918329136429
137,283.22999449718264,283.2697921790543,283.5568511153726,283.96907326150074
138,282.9618378493898,282.99228569410946,283.2841933195133,283.7692074111636
139,283.01881632551857,282.9932052344164,283.23798063380633,283.65937470507066
140,281.9763282339296,281.7884049236613,281.9393762290502,283.425465290878
141,281.3929604441081,281.1708531186105,281.3008953846163,282.68855605981753
142,281.22140051344104,280.9938913587479,281.12373581542255,282.4296770562856
143,281.0461228507498,280.80733508343167,280.9367037409589,282.2970496440623
144,280.9032220311371,280.65351471398645,280.776801128475,282.0566777975512
145,280.60950286294843,280.3516539215974,280.4761740624268,281.5905505275443
146,280.4029776806402,280.16078381070787,280.2719304774943,280.433341844497
147,280.14211210085193,279.8815140105369,279.9992671740053,279.84730733634
148,280.0049436707751,279.77422964555535,279.88514383147896,278.57763068680697
149,279.6841072053924,279.40094096574234,279.2523555579319,278.96469005013813
150,279.4688364509775,279.1888844868386,279.3059213753433,278.5824480397707
151,279.3592596084944,279.1309082472861,279.24840104308953,278.51470437493657
152,279.4145476154697,279.19063603145673,279.30728498153263,278.79106454917695
153,279.46848419334464,279.20339237762795,279.3082373563241,279.02633548603444
154,279.4804089452194,279.1877118201288,279.29417764134246,279.2854248384512
155,279.5846203035767,279.30407115653776,279.4172091763617,279.6685814633081
156,279.58261914681253,279.28250366813774,279.3945484790441,279.90057355418344
157,279.57657804692207,279.26010124499203,279.3600945629698,280.1150881698808
158,279.52174919801195,279.1896480651336,279.28814657694255,280.2024977473582
159,279.48878575966967,279.13820435937737,279.22901052769475,279.92284654854114
160,279.4070035281669,279.0805125086056,279.16023198341844,279.80816365354855
161,279.266895734675,278.93563565045577,279.0132375576856,279.50460825225065
162,279.1127967789319,278.76012079119414,278.83950062802137,278.9426170048966
163,278.8722406286457,278.495247578847,278.5657129659937,278.4476817831356
164,278.74045338569374,278.34624165311686,278.41073955383894,278.2338636733984
165,278.6878543845612,278.27538360381965,278.32782299475997,277.93890613289176
166,278.66236173968565,278.24724797565085,278.2866047387534,277.8022650223841
167,278.81591005653905,278.3926201554622,278.44919534516043,278.2887333511573
168,278.82754014855055,278.3994620282122,278.45300931268963,278.47682349267245
169,278.9343700702283,278.5446297224099,278.6077613639413,278.8185574529323
170,279.0923697032638,278.67256745049525,278.7913773517593,279.14899699554326
171,279.23335305172407,278.85449826127365,278.90117831874676,279.37991321080784
172,279.38345823602236,278.9963985908683,279.0674460941515,279.4016772217586
173,279.4852971413111,279.1368708386083,279.20908145727196,279.41252680796
174,279.4688662168726,279.105415806219,279.1668830980121,279.35497942392817
175,279.56804244258484,279.20993000020934,279.30341613385315,279.5019970704955
176,279.64742975440936,279.337134499927,279.43699939001425,279.73489988778886
177,279.7004939367964,279.3960933428617,279.5042050149081,279.5472323817251
178,279.92322289391836,279.6237159255801,279.71159774652864,279.81514317158616
179,280.0195707200619,279.7276384755604,279.82695089658955,279.83487290992946
180,280.12710051033235,279.83396809375614,279.9368551663131,279.99183900993825
181,280.14558831611765,279.855745326157,279.95948799101217,280.2692010745894
182,280.17385852469164,279.8826025087733,279.97534757922335,280.3306444379665
183,280.0544040517969,279.7603622524532,279.8538237856176,280.2785338951828
184,279.8821210731902,279.58725083698283,279.67697610174463,280.06223225149995
185,279.8669553234992,279.5674484044217,279.65403243816206,279.9780439736637
186,279.9046504279509,279.6080601020093,279.697542456117,280.0369597212928
187,280.02891274977725,279.75250914567454,279.85090011975865,280.07163079391944
188,279.9387041105333,279.65132967501535,279.74381431582384,279.9610145271806
189,279.7150614768358,279.4237942782185,279.5186122809032,279.9370095259825
190,279.4173432158794,279.1149346832399,279.2108356221029,279.5933948413077
191,279.1963178843686,278.8810961743532,278.96898835289556,279.3939715934188
192,279.3106465527337,279.0102987833271,279.10505264497215,279.2704154076483
193,278.91956708547065,278.5992299733351,278.6857736345446,279.13633215066176
194,279.0533326700644,277.5108909720416,277.5929804424387,278.0697670938303
195,279.0258660868345,277.7282196903133,277.8278888721842,277.7320998294693
196,278.98478578562083,277.8658765800024,277.95475697057765,278.1056324461718
197,278.9379321468608,277.5010749855922,277.58954031265483,277.7312571213589
198,278.92145780087276,277.81126249920385,277.9002398701663,278.10664200749585
199,278.6277378841535,278.2735108523315,278.3433310838903,278.5287608224905
